WardNo,WardName,Population2011,Area(sqkm),Households2011,RoadLength(kms),Lakes,LakeArea(sqkm),Parks,ParkArea(sqkm),Playgrounds,PlaygroundArea(sqm),GovtSchools,PoliceStations,FireStations,BusStops,StreetLights,PopulationDensity2011,DecadalPopnGrowthRate
1,Kempegowda Ward,34783,10.9,8647,86,2,1441486,3,5899.74,0,0,4,1,0,35,2379,"3,182",59.10%
2,Chowdeswari Ward,36602,6.5,9506,72,2,416208,6,11181.39,0,0,6,0,0,19,2508,"5,635",86.50%
3,Atturu,58129,8.8,14605,169,2,307428,30,98281.4,4,40131,7,1,0,31,4227,"6,606",142.00%
4,"Yelahanka SatelliteTown",41986,4.6,10583,86,2,172663,26,153858.29,2,10652,4,2,0,21,3626,"9,224",62.90%
5,Jakkuru,52025,23.5,12387,349,10,1283652,17,33158.45,1,1442,14,1,0,78,4351,"2,215",148.20%
6,Thanisandra,71855,10,16470,235,1,444273,22,80829.49,1,1847,9,1,0,42,5022,"7,161",252.20%
7,Byatarayanapura,72154,10,18691,144,2,308438,30,115449.12,4,19031,8,1,1,59,2620,"7,198",129.80%
8,Kodigehalli,47546,3.8,12036,84,1,545611,23,166993.94,5,25810,3,0,0,16,2365,"12,369",119.80%
9,Vidyaranyapura,57195,9.9,14448,130,2,74162,37,125965.64,6,71225,2,2,0,24,2903,"5,753",147.20%
10,Dodda Bommasandra,36396,4.2,8379,51,1,446760,17,111413.55,1,48071,1,0,0,33,1735,"8,673",68.20%
11,Kuvempu Nagar,37128,7.1,8519,95,1,238723,13,35070.75,0,0,7,1,0,23,2039,"5,207",46.80%
12,Shettihalli,61071,8.1,15530,144,2,238123,8,42283.17,1,426,5,0,0,45,3193,"7,521",115.70%
13,Mallasandra,41482,1.3,11221,40,1,46615,5,11825.01,1,964,3,0,0,1,1613,"31,753",58.00%
14,Bagalakunte,65113,4.3,17117,123,0,0,8,20434.85,3,44675,3,0,0,26,3469,"15,203",130.00%
15,T Dasarahalli,33042,0.9,8849,29,0,0,0,0,0,0,3,0,0,5,1364,"37,474",26.80%
16,Jalahalli,37959,5.2,9191,36,0,0,21,177049,5,64023,4,1,0,33,1899,"7,354",30.70%
17,J P Park,49610,2,12553,52,1,302001,4,359434.43,1,5432,2,0,0,18,1878,"24,203",41.00%
